Word,Pos,Neg,Attr
abronia_maritima,0,0,n
abronia_umbellata,0,0,n
abronia_villosa,0,0,n
abrupt,0.5,0.25,a
abrupt,0.25,0.25,a
abrupt,0.25,0.25,a
abrupt,0.125,0.375,a
abruptio_placentae,0,0,n
abruption,0,0,n
abruptly,0,0,r
abruptly-pinnate,0.25,0,a
abruptly-pinnate_leaf,0.25,0,n
abruptness,0.625,0.375,n
abruptness,0.375,0.375,n
abruptness,0,0,n
abruzzi,0,0,n
abruzzi_e_molise,0,0,n
abs,0,0,n
abscess,0,0,n
abscessed,0,0.5,a
abscessed_tooth,0,0,n
abscise,0,0,v
abscise,0,0,v
abscissa,0,0,n
abscission,0,0,n
abscission,0,0,n
abscond,0,0,v
absconder,0.375,0,n
abscondment,0,0,n
abseil,0,0,n
abseil,0,0,v
abseiler,0,0,n
absence,0.125,0.125,n
absence,0,0,n
absence,0,0,n
absence,0,0,n
absence_seizure,0,0,n
absence_without_leave,0,0.25,n
absent,0.375,0.125,a
absent,0.125,0.625,a
absent,0,0.625,a
absent,0,0,v
absentee,0,0.625,n
absentee_ballot,0,0,n
absentee_rate,0,0.5,n
absenteeism,0.125,0,n
absently,0.5,0,r
absentminded,0.375,0.125,a
absentmindedly,0.5,0,r
absentmindedness,0.375,0.125,n
absinth,0,0,n
absinthe,0,0,n
absinthe,0,0,n
absinthe_oil,0,0,n
absolute,0.625,0,a
absolute,0.5,0,a
absolute,0.25,0.25,a
absolute,0.125,0.625,a
absolute,0,0.75,a
absolute,0,0.25,n
absolute_alcohol,0.125,0.375,n
absolute_ceiling,0,0,n
absolute_frequency,0,0,n
absolute_magnitude,0,0,n
absolute_majority,0,0,n
absolute_pitch,0,0,n
absolute_scale,0,0,n
absolute_space,0,0,n
absolute_temperature,0,0,n
absolute_threshold,0,0,n
absolute_value,0,0,n
absolute_viscosity,0,0,n
absolute_zero,0,0,n
absolutely,0.5,0,r
absolutely,0.5,0,r
absoluteness,0.5,0.125,n
absoluteness,0.5,0.125,n
absolution,0,0,n
absolution,0,0,n
absolutism,0,0.5,n
absolutism,0,0.25,n
absolutism,0,0,n
absolutism,0,0,n
absolutist,0,0,a
absolutist,0,0,n
absolutistic,0,0,a
absolve,0.25,0.125,v
absolve,0,0,v
absolved,0.625,0,a
absolver,0.25,0,n
absolvitory,0.25,0,a
absorb,0.375,0,v
absorb,0.25,0,v
absorb,0.125,0,v
absorb,0,0,v
absorb,0,0,v
absorb,0,0,v
absorb,0,0,v
absorb,0,0,v
absorb,0,0,v
absorbable,0.5,0,a
absorbance,0,0,n
absorbate,0.5,0,n
absorbed,0.25,0.125,a
absorbed,0,0,a
absorbefacient,0.375,0,a
absorbency,0,0,n
absorbent,0,0,a
absorbent,0,0,n
absorbent_cotton,0,0,n
absorbent_material,0,0,n
absorber,0,0,n
absorbing,0.5,0,a
absorptance,0,0,n
absorption,0.25,0.25,n
absorption,0,0.375,n
absorption,0,0,n
absorption,0,0,n
absorption,0,0,n
absorption,0,0,n
absorption_band,0,0,n
absorption_coefficient,0,0,n
absorption_factor,0,0,n
absorption_indicator,0,0,n
absorption_spectrum,0,0,n
absorption_unit,0,0,n
absorptive,0,0,a
absorptivity,0,0,n
absquatulate,0,0,v
abstain,0,0.375,v
abstain,0,0,v
abstainer,0,0,n
abstainer,0,0,n
abstemious,0.625,0.125,a
abstemious,0,0,a
abstemiously,0.25,0,r
abstemiousness,0,0.375,n
abstemiousness,0,0,n
abstention,0.25,0.125,n
abstentious,0,0.625,a
abstinence,0.25,0.125,n
abstinence,0,0,n
abstinent,0,0.625,a
abstinent,0,0,n
abstract,0,0.125,v
abstract,0,0,a
abstract,0,0,a
abstract,0,0,a
abstract,0,0,n
abstract,0,0,n
abstract,0,0,v
abstract,0,0,v
abstract,0,0,v
abstract_art,0,0,n
abstract_artist,0,0,n
abstract_entity,0,0,n
abstract_expressionism,0.125,0,n
abstract_thought,0.125,0,n
abstracted,0.375,0.125,a
abstractedly,0.5,0,r
abstractedness,0,0,n
abstracter,0,0,n
abstraction,0,0,n
abstraction,0,0,n
abstraction,0,0,n
abstraction,0,0,n
abstraction,0,0,n
abstraction,0,0,n
abstractionism,0,0.375,n
abstractionism,0,0,n
abstractionist,0,0,a
abstractionist,0,0,n
abstractive,0.375,0,a
abstractly,0,0,r
abstractness,0.125,0.125,n
abstractor,0,0,n
abstruse,0.5,0.375,a
abstrusely,0,0.25,r
abstruseness,0.375,0.5,n
abstruseness,0.375,0,n
abstrusity,0.375,0,n
absurd,0.625,0,a
absurd,0.375,0,a
absurd,0,0,n
absurdity,0.375,0.25,n
absurdity,0,0,n
absurdly,0,0,r
absurdness,0,0,n
abu_ali_al-husain_ibn_abdallah_ibn_sina,0,0,n
abu_dhabi,0,0,n
abu_hafs_al-masri_brigades,0,0,n
abu_nidal_organization,0,0,n
abu_sayyaf,0,0,n
abudefduf,0,0,n
abudefduf_saxatilis,0,0,n
abuja,0,0,n
abukir,0,0,n
abukir_bay,0,0,n
abulia,0,0,n
abulic,0,0.75,a
abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd,0,0,n
abundance,0,0,n
abundance,0,0,n
abundance,0,0,n
abundant,0,0.25,a
abundantly,0,0,r
abuse,0.625,0.125,v
abuse,0.125,0.75,n
abuse,0,0.75,v
abuse,0,0.625,n
abuse,0,0.625,v
abuse,0,0.25,n
abuse,0,0.25,v
abused,0.375,0.125,a
abused,0,0.625,a
abuser,0,0.25,n
abusive,0,0.875,a
abusive,0,0.875,a
abusively,0.5,0.375,r
abut,0,0,v
abutilon,0,0,n
abutilon_theophrasti,0,0,n
abutment,0,0,n
abutment,0,0,n
abutment_arch,0,0,n
abutter,0,0,n
abuzz,0,0,a
abvolt,0,0,n
abwatt,0,0,n
aby,0,0.125,v
aby_moritz_warburg,0,0,n
aby_warburg,0,0,n
abydos,0,0,n
abye,0,0.125,v
abyla,0,0,n
abysm,0,0,n
abysmal,0.25,0.25,a
abysmal,0,0,a
abysmally,0,0.75,r
abyss,0,0,n
abyssal,0,0,a
abyssal,0,0,a
abyssal_zone,0,0,n
abyssinia,0,0,n
abyssinian,0,0,n
abyssinian_banana,0,0,n
abyssinian_cat,0,0,n
ac,0,0,n
ac,0,0,n
acacia,0,0,n
acacia_auriculiformis,0,0,n
acacia_cambegei,0,0.625,n
acacia_catechu,0,0,n
acacia_dealbata,0,0,n
acacia_farnesiana,0,0,n
acacia_melanoxylon,0.375,0.125,n
acacia_pycnantha,0,0,n
acacia_xanthophloea,0,0,n
academe,0,0,n
academia,0,0,n
academic,0.5,0,a
academic,0,0.625,a
academic,0,0,a
academic,0,0,n
academic_administrator,0,0,n
academic_costume,0,0,n
academic_degree,0,0,n
academic_department,0,0,n
academic_freedom,0,0.375,n
academic_gown,0,0.125,n
academic_program,0,0,n
academic_relation,0.125,0,n
academic_requirement,0,0,n
academic_robe,0,0.125,n
academic_session,0,0,n
academic_term,0,0,n
academic_year,0,0,n
academically,0.125,0,r
academician,0.125,0,n
academician,0,0,n
academician,0,0,n
academicianship,0,0,n
academicism,0,0.125,n
academism,0,0.125,n
academy,0.125,0,n
academy,0.125,0,n
academy,0,0.125,n
academy,0,0,n
academy_award,0,0,n
academy_of_motion_picture_arts_and_sciences,0,0,n
academy_of_television_arts_and_sciences,0,0,n
acadia,0,0,n
acadia_national_park,0.25,0,n
acadian,0,0,n
acalypha,0,0,n
acalypha_virginica,0,0,n
acantha,0,0,n
acanthaceae,0,0,n
acanthion,0,0,n
acanthisitta,0,0,n
acanthisitta_chloris,0,0,n
acanthisittidae,0,0,n
acanthocephala,0,0,n
acanthocephalan,0,0.25,n
acanthocereus,0,0,n
acanthocereus_pentagonus,0,0,n
acanthocereus_tetragonus,0,0,n
acanthocybium,0,0,n
acanthocybium_solandri,0,0,n
acanthocyte,0,0.125,n
acanthocytosis,0,0.125,n
acanthoid,0.125,0,a
acantholysis,0,0,n
acanthoma,0,0,n
acanthophis,0,0,n
acanthophis_antarcticus,0,0.375,n
acanthopterygian,0,0,n
acanthopterygii,0.125,0,n
acanthoscelides,0,0,n
acanthoscelides_obtectus,0,0,n
acanthosis,0,0,n
acanthosis_nigricans,0.125,0.25,n
acanthotic,0,0,a
acanthous,0.125,0,a
acanthuridae,0,0,n
acanthurus,0,0,n
acanthurus_chirurgus,0,0,n
acanthus,0,0,n
acanthus_family,0,0,n
acanthus_mollis,0,0,n
acapnia,0,0,n
acapnial,0,0,a
acapnic,0,0,a
acapnotic,0,0,a
acapulco,0,0,n
acapulco_de_juarez,0,0,n
acapulco_gold,0,0,n
acaracide,0,0,n
acardia,0,0.5,n
acariasis,0,0,n
acaricide,0,0,n
acarid,0,0,n
acaridae,0,0,n
acaridiasis,0,0,n
acarina,0,0,n
acarine,0,0,n
acariosis,0,0,n
acaroid_resin,0,0,n
acarophobia,0,0.125,n
acarpellous,0,0,a
acarpelous,0,0,a
acarpous,0,0.375,a
acarus,0,0,n
acaryote,0,0.375,n
acatalectic,0.125,0,a
acatalectic,0,0.5,n
acataphasia,0,0.5,n
acathexia,0,0.375,n
acathexis,0,0.375,n
acaudal,0,0.25,a
acaudate,0,0.25,a
acaulescent,0.25,0,a
acc,0,0,n
accaroid_resin,0,0,n
accede,0.125,0.125,v
accede,0,0,v
accede,0,0,v
accelerando,0,0,a
accelerando,0,0,n
accelerando,0,0,r
accelerate,0,0,v
accelerate,0,0,v
accelerated,0,0,a
acceleration,0,0,n
acceleration,0,0,n
acceleration,0,0,n
acceleration_unit,0,0,n
accelerative,0.125,0.25,a
accelerator,0,0,n
accelerator,0,0,n
accelerator,0,0,n
accelerator,0,0,n
accelerator_factor,0,0.25,n
accelerator_pedal,0,0,n
acceleratory,0.125,0.25,a
accelerometer,0,0,n
accent,0.75,0,n
accent,0.125,0,n
accent,0,0,n
accent,0,0,n
accent,0,0,n
accent,0,0,v
accent,0,0,v
accent_mark,0,0,n
accented,0,0,a
accented,0,0,a
accenting,0.125,0,n
accentor,0,0,n
accentual,0,0,a
accentual,0,0,a
accentual_system,0,0,n
accentuate,0,0,v
accentuate,0,0,v
accentuation,0.125,0,n
accentuation,0,0,n
accept,0.625,0,v
accept,0.25,0,v
accept,0.125,0,v
accept,0.125,0,v
accept,0,0.125,v
accept,0,0,v
accept,0,0,v
accept,0,0,v
accept,0,0,v
accept,0,0,v
accept,0,0,v
acceptability,0.5,0.25,n
acceptable,0.625,0,a
acceptable,0.625,0,a
acceptable,0.25,0,a
acceptable,0.125,0,a
acceptableness,0.5,0.25,n
acceptably,0.5,0,r
acceptance,0.25,0.25,n
acceptance,0.25,0,n
acceptance,0,0,n
acceptance,0,0,n
acceptance,0,0,n
acceptance,0,0,n
acceptance,0,0,n
acceptance_sampling,0,0,n
acceptant,0.25,0,a
acceptation,0.375,0,n
acceptation,0.125,0,n
acceptation,0,0,n
accepted,0.5,0,a
accepting,0.375,0.125,a
acceptive,0.375,0.25,a
acceptive,0.25,0,a
acceptor,0,0,n
acceptor,0,0,n
acceptor_rna,0,0.375,n
access,0,0,n
access,0,0,n
access,0,0,n
access,0,0,n
access,0,0,n
access,0,0,n
access,0,0,v
access,0,0,v
access_code,0,0,n
access_road,0,0,n
access_time,0,0,n
accessary,0.375,0,a
accessary,0,0,n
accessibility,0.5,0.125,n
accessibility,0,0,n
accessible,0.625,0,a
accessible,0.625,0,a
accessible,0.125,0.125,a
accessible,0.125,0,a
accession,0.125,0.125,n
accession,0,0,n
accession,0,0,n
accession,0,0,n
accession,0,0,n
accession,0,0,n
accession,0,0,v
accessional,0.125,0,a
accessorial,0.375,0,a
accessory,0.375,0,a
accessory,0,0.375,n
accessory,0,0,a
accessory,0,0,n
accessory,0,0,n
accessory_after_the_fact,0,0,n
accessory_before_the_fact,0,0,n
accessory_cephalic_vein,0,0,n
accessory_during_the_fact,0,0.125,n
accessory_fruit,0,0,n
accessory_hemiazygos_vein,0,0,n
accessory_hemiazygous_vein,0,0,n
accessory_nerve,0,0,n
accessory_vertebral_vein,0,0,n
accho,0,0,n
acciaccatura,0,0,n
accidence,0,0,n
accident,0,0.75,n
accident,0,0.125,n
accident_surgery,0,0,n
accidental,0,0.125,a
accidental,0,0.125,n
accidental_injury,0,0.75,n
accidentally,0.25,0.125,r
accidentally,0.125,0,r
accidentally,0.125,0,r
accident-prone,0,0.125,a
accipiter,0,0,n
accipiter_cooperii,0,0,n
accipiter_gentilis,0,0,n
accipiter_nisus,0,0,n
accipitridae,0,0,n
accipitriformes,0,0,n
accipitrine,0,0,a
acclaim,0.625,0,n
acclaim,0.375,0,v
acclaim,0,0,v
acclamation,0.625,0,n
acclimate,0,0.375,v
acclimation,0,0,n
acclimatisation,0,0,n
acclimatise,0,0.375,v
acclimatization,0,0,n
acclimatize,0,0.375,v
acclivitous,0,0,a
acclivity,0,0,n
accolade,0.5,0,n
accommodate,0.75,0,v
accommodate,0.25,0,v
accommodate,0.125,0,v
accommodate,0.125,0,v
accommodate,0.125,0,v
accommodate,0,0,v
accommodate,0,0,v
accommodating,0.5,0,a
accommodating,0.5,0,a
accommodating_iol,0,0,n
accommodating_lens_implant,0,0,n
accommodatingly,0,0,r
accommodation,0.5,0,n
accommodation,0,0.375,n
accommodation,0,0,n
accommodation,0,0,n
accommodation,0,0,n
accommodation,0,0,n
accommodation_endorser,0,0.5,n
accommodation_ladder,0,0,n
accommodation_reflex,0,0,n
accommodational,0,0,a
accommodative,0.625,0.125,a
accommodative,0.5,0,a
accommodative,0,0,a
accommodator,0,0,n
accompanied,0,0,a
accompanied,0,0,a
accompaniment,0,0,n
accompaniment,0,0,n
accompaniment,0,0,n
accompaniment,0,0,n
accompanist,0,0,n
accompany,0,0,v
accompany,0,0,v
accompany,0,0,v
accompany,0,0,v
accompanying,0,0,a
accompanying_vein,0,0,n
accompanyist,0,0,n
accomplice,0,0,n
accomplish,0.125,0.125,v
accomplish,0,0,v
accomplishable,0.25,0,a
accomplished,0.75,0,a
accomplished,0.125,0,a
accomplished,0,0,a
accomplished_fact,0.25,0.125,n
accomplishment,0.25,0,n
accomplishment,0,0,n
accord,0.5,0.375,n
accord,0.125,0,n
accord,0.125,0,v
accord,0,0.375,n
accord,0,0,n
accord,0,0,v
accord_and_satisfaction,0,0,n
accordance,0.125,0,n
accordance,0,0.375,n
accordance_of_rights,0.125,0,n
accordant,0.5,0,a
accordant,0,0,a
according,0.125,0,a
according,0,0,a
accordingly,0.5,0.25,r
accordingly,0,0,r
accordion,0,0,n
accordion_door,0,0,n
accordionist,0,0,n
accost,0.125,0,v
accost,0,0,v
accouchement,0,0,n
accoucheur,0,0,n
accoucheuse,0,0,n
account,0.875,0.125,n
account,0.625,0,n
account,0,0,n
account,0,0,n
account,0,0,n
account,0,0,n
account,0,0,n
account,0,0,n
account,0,0,n
account,0,0,n
account,0,0,v
account,0,0,v
account,0,0,v
account,0,0,v
account_book,0,0,n
account_executive,0,0,n
account_for,0,0,v
account_for,0,0,v
account_payable,0.125,0,n
account_representative,0,0,n
account_statement,0,0,n
accountability,0,0,n
accountable,0,0,a
accountancy,0,0,n
accountant,0,0,n
accountantship,0,0,n
accounting,0,0,n
accounting,0,0,n
accounting,0,0,n
accounting,0,0,n
accounting,0,0,n
accounting_data,0,0,n
accounting_entry,0,0,n
accounting_firm,0,0,n
accounting_principle,0,0,n
accounting_standard,0,0,n
accounting_system,0,0,n
accounts_payable,0,0,n
accounts_receivable,0,0,n
accouter,0,0,v
accoutered,0,0,a
accouterment,0,0.375,n
accoutre,0,0,v
accoutred,0,0,a
accoutrement,0,0.375,n
accra,0,0,n
accredit,0,0,v
accredit,0,0,v
accredit,0,0,v
accreditation,0,0,n
accredited,0,0,a
accrete,0,0,v
accrete,0,0,v
accretion,0.125,0,n
accretion,0,0,n
accretion,0,0,n
accretion,0,0,n
accretion,0,0,n
accretion,0,0,n
accretionary,0,0.375,a
accretive,0,0.25,a
accroides,0,0,n
